"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms
Physician,Yes,Within a day,yes,yes,yes,yes,Other,Male,high school,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Physician,Yes,Immediately,yes,yes,yes,yes,Other,Female,high school,Not Specified,Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,Other,Female,high school,Not Specified,Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family / Gender",No response
Physician,No,Immediately,yes,yes,yes,yes,41-60,Female,high school,"4,00,001 - 6,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","Diabetes / Obesity, Smoking / Alcohol / Drugs",emergency
Neurologist,Yes,Immediately,yes,yes,yes,yes,Other,Male,high school,Not Specified,Hospital,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Male,high school,"2,00,001 - 4,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",other
Neurologist,Yes,Immediately,yes,yes,yes,yes,Other,Male,high school,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness","Diabetes / Obesity, Smoking / Alcohol / Drugs",No response
Physician,No,Within a week,no,no,no,no,26-40,Male,other,"Below 2,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Female,other,Not Specified,Emergency Services,Immediate,Hospital /Medical Centre,"Vision Problems, Balance / Dizziness, Headache","Diabetes / Obesity, Smoking / Alcohol / Drugs",other
Physician,No,Within a day,no,no,no,no,41-60,Female,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
"ENT (Ear, Nose, and Throat specialist)",No,Immediately,maybe,maybe,maybe,maybe,15-25,Female,high school,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,26-40,Female,speciality,"2,00,001 - 4,00,000",Emergency Services,Immediate,Hospital /Medical Centre,"Speech / Confusion, Vision Problems, Balance / Dizziness, Headache","BP / Heart, Diabetes / Obesity, Smoking / Alcohol / Drugs",emergency
Neurologist,No,Within a day,maybe,maybe,maybe,maybe,26-40,Female,high school,"2,00,001 - 4,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,No,Immediately,no,no,no,no,Other,Male,other,"6,00,001 - 8,00,000",Unaware,Not answered,No Response,Unaware,Unaware,other
Physician,Yes,Immediately,yes,yes,yes,yes,41-60,Male,graduate,"Above 8,00,000",Doctor,Immediate,Hospital /Medical Centre,"Paralysis / Weakness, Headache",Other,other
Neurologist,Yes,Immediately,yes,yes,yes,yes,41-60,Female,other,"6,00,001 - 8,00,000",Doctor,Immediate,Hospital /Medical Centre,"Paralysis / Weakness, Headache","Diabetes / Obesity, Age / Family / Gender",other
Neurologist,No,Immediately,no,maybe,maybe,maybe,Other,Male,graduate,"4,00,001 - 6,00,000",Family/Friend,Not answered,No Response,Unaware,Unaware,No response
Neurologist,Yes,Immediately,yes,yes,yes,yes,Other,Female,high school,Not Specified,Not given,Immediate,Hospital /Medical Centre,"Paralysis / Weakness, Headache",Diabetes / Obesity,Not answered
Neurologist,Yes,Immediately,yes,yes,yes,yes,Other,Male,graduate,"6,00,001 - 8,00,000",Doctor,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache",Other,No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,Other,Male,graduate,"6,00,001 - 8,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,No,Within a day,maybe,maybe,maybe,maybe,Other,Female,other,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Physician,Yes,Immediately,yes,yes,yes,yes,Other,Female,other,Not Specified,Hospital,Immediate,Hospital /Medical Centre,Paralysis / Weakness,Age / Family / Gender,other
Physician,Yes,Immediately,yes,yes,yes,yes,Other,Male,other,"4,00,001 - 6,00,000",Doctor,Immediate,Hospital /Medical Centre,"Paralysis / Weakness, Headache",Age / Family / Gender,No response
Physician,No,Immediately,maybe,maybe,maybe,maybe,41-60,Female,graduate,Not Specified,Not given,Not answered,No Response,Unaware,Unaware,No response
Neurologist,No,Immediately,yes,yes,yes,yes,Other,Female,graduate,Not Specified,Not given,Immediate,Hospital /Medical Centre,"Speech / Confusion, Paralysis / Weakness, Vision Problems, Balance / Dizziness, Headache",Age / Family / Gender,Not answered
Physician,No,Immediately,maybe,maybe,maybe,maybe,Other,Male,other,"4,00,001 - 6,00,000",Doctor,Unaware,No Response,Unaware,Unaware,No response
Physician,No,Immediately,no,maybe,no,maybe,41-60,Male,graduate,"6,00,001 - 8,00,000",Not given,Not answered,No Response,Unaware,Unaware,No response
