"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_confusion,score_numbness,score_vision,score_nosebleed,score_urgency,score_location,total_raw_score,awareness_score
Physician,No,Within a month,no,maybe,maybe,maybe,15-25,Female,high school,Not Specified,Unknown,Unknown,Unknown /No Response,Speech / Confusion,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Physician,No,I would not consult a specialist,no,no,no,no,26-40,Female,other,Not Specified,Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,Yes,Immediately,maybe,maybe,maybe,maybe,15-25,Female,graduate,Not Specified,Unknown,Unknown,Unknown /No Response,"Paralysis / Weakness, Dizziness",Unaware,No response,0,1,0,0,0,1,0,0,7,1.11
Neurologist,No,Within a week,yes,yes,yes,yes,15-25,Female,graduate,"Above 8,00,000",Hospital,Immediate,Other,"Vision Problems, Headache",Other,Observe and Monitor Symptoms,4,0,1,1,1,0,0,0,24,3.81
Physician,Yes,Within a day,yes,yes,maybe,maybe,26-40,Female,graduate,"6,00,001 - 8,00,000",Family/Friend,Immediate,Doctor /Specialist,"Vision Problems, Dizziness, Headache","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Unaware",Seek Medical Help,0,1,1,1,0,1,0,0,17,2.7
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,maybe,maybe,maybe,maybe,26-40,Female,graduate,"2,00,001 - 4,00,000",Family/Friend,Immediate,Hospital /Medical Centre,"Paralysis / Weakness, Vision Problems, Dizziness","Blood pressure or Heart problem, Diabetes / Obesity, Smoking / Alcohol / Drugs, Age / Family histiry of stroke  / Gender, Unaware",Seek Medical Help,2,1,0,0,0,1,0,3,28,4.44
Physician,Yes,Immediately,maybe,maybe,maybe,maybe,26-40,Male,graduate,"2,00,001 - 4,00,000",Family/Friend,Immediate,Doctor /Specialist,"Vision Problems, Dizziness, Headache",Unaware,Seek Medical Help,0,1,0,0,0,1,0,0,7,1.11
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,maybe,maybe,maybe,maybe,60+,Female,high school,"4,00,001 - 6,00,000",Doctor,Immediate,Unknown /No Response,"Paralysis / Weakness, Vision Problems, Headache",Unaware,other,2,1,0,0,0,1,0,0,13,2.06
Neurologist,Yes,Within a week,maybe,maybe,maybe,maybe,15-25,Male,graduate,"Below 2,00,000",Doctor,Immediate,Doctor /Specialist,Vision Problems,Diabetes / Obesity,No response,4,1,0,0,0,1,0,0,19,3.02
Neurologist,No,Immediately,no,no,no,yes,15-25,Male,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,4,0,0,0,1,2,0,0,18,2.86
