"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_action_first_symptom,score_confusion,score_numbness,score_nosebleed,score_vision,score_first_contact,score_urgency,score_location,score_symptoms,score_risk,score_advice,score_symptoms_combined,total_raw_score,symptom_awareness_score,awareness_score
Neurologist,Yes,Within a day,yes,yes,maybe,maybe,15-25,Female,other,"4,00,001 - 6,00,000",family/friend,immediately,doctor_or_specialist,speech_or_confusion,diabetes_or_obesity,seek_medical_help,4,1,1,1,1,1,0,0,2,0,1,1,0,15,48,6.0,4.14
Neurologist,No,Within a month,yes,no,no,maybe,26-40,Male,speciality,"2,00,001 - 4,00,000",family/friend,no_response,hospital_or_medical_centre,no_response,Unaware,ensure_rest_and_safety,4,0,0,1,0,2,0,0,0,3,0,0,0,9,36,3.6,3.1
Physician,Maybe,Within a week,maybe,maybe,maybe,maybe,26-40,Female,speciality,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,1,0,0,0,0,0,0,0,2,8,0.8,0.69
Physician,Maybe,I would not consult a specialist,no,no,no,no,15-25,Female,graduate,"2,00,001 - 4,00,000",doctor,unaware,Unknown /No Response,dizziness,other,no_response,2,0,0,0,0,2,0,0,0,0,0,0,0,4,10,1.6,0.86
Physician,Yes,Immediately,no,no,no,no,26-40,Female,graduate,not_specified,doctor,no_response,other,no_response,other,other,2,1,2,0,0,2,0,0,0,0,0,0,0,4,21,1.6,1.81
Physician,No,Within a day,maybe,maybe,maybe,maybe,26-40,Female,graduate,"below 2,00,000",no_response,no_response,doctor_or_specialist,no_response,Unaware,no_response,2,0,1,0,0,1,0,0,0,0,0,0,0,2,11,0.8,0.95
"ENT (Ear, Nose, and Throat specialist)",Yes,Immediately,maybe,yes,maybe,yes,15-25,Female,other,"below 2,00,000",no_response,no_response,Unknown /No Response,paralysis_or_weakness,Unaware,no_response,0,1,2,0,1,1,1,0,0,0,1,0,0,12,23,4.8,1.98
Physician,No,Within a day,maybe,maybe,maybe,maybe,15-25,Female,graduate,not_specified,no_response,no_response,Unknown /No Response,no_response,other,no_response,2,0,1,0,0,1,0,0,0,0,0,0,0,2,11,0.8,0.95
Physician,Yes,Immediately,yes,maybe,yes,yes,26-40,Female,graduate,"below 2,00,000",doctor,no_response,emergency_services,"paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",ensure_rest_and_safety,2,1,2,1,0,0,1,0,0,4,2,3,0,13,59,5.2,5.09
Orthopedic,Yes,Within a day,no,no,no,no,15-25,Female,graduate,"4,00,001 - 6,00,000",doctor,after_few_days_(2-3days_or_week),doctor_or_specialist,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache",other,other,0,1,1,0,0,2,0,0,0,0,3,0,0,13,21,5.2,1.81
Physician,No,Immediately,yes,no,no,no,26-40,Female,graduate,"below 2,00,000",doctor,immediately,Unknown /No Response,no_response,other,other,2,0,2,1,0,2,0,0,2,0,0,0,0,9,31,3.6,2.67
"ENT (Ear, Nose, and Throat specialist)",No,Within a month,maybe,no,no,no,26-40,Male,graduate,"2,00,001 - 4,00,000",unaware,unaware,Unknown /No Response,no_response,other,other,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,1.6,0.34
Physician,No,Within a month,no,maybe,maybe,maybe,15-25,Female,high school,not_specified,no_response,no_response,Unknown /No Response,speech_or_confusion,Unaware,no_response,2,0,0,0,0,1,0,0,0,0,1,0,0,5,11,2.0,0.95
Physician,No,I would not consult a specialist,no,no,no,no,26-40,Female,other,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,2,0,0,0,0,0,0,0,4,10,1.6,0.86
Physician,Yes,Immediately,maybe,maybe,maybe,maybe,15-25,Female,graduate,not_specified,no_response,no_response,Unknown /No Response,"paralysis_or_weakness,dizziness",Unaware,no_response,2,1,2,0,0,1,0,0,0,0,1,0,0,5,22,2.0,1.9
Neurologist,No,Within a week,yes,yes,yes,yes,15-25,Female,graduate,"above 8,00,000",hospital,immediately,other,"vision_problems,headache",other,observe_and_monitor_symptoms,4,0,0,1,1,0,1,3,2,0,1,0,0,15,52,6.0,4.48
Physician,Yes,Within a day,yes,yes,maybe,maybe,26-40,Female,graduate,"6,00,001 - 8,00,000",family/friend,after_few_days_(2-3days_or_week),doctor_or_specialist,"vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, Unaware",seek_medical_help,2,1,1,1,1,1,0,0,0,0,1,3,0,15,38,6.0,3.28
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,maybe,maybe,maybe,maybe,26-40,Female,graduate,"2,00,001 - 4,00,000",family/friend,immediately,hospital_or_medical_centre,"paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",seek_medical_help,0,1,1,0,0,1,0,0,2,3,2,4,0,8,53,3.2,4.57
Physician,Yes,Immediately,maybe,maybe,maybe,maybe,26-40,Male,graduate,"2,00,001 - 4,00,000",family/friend,immediately,doctor_or_specialist,"vision_problems,dizziness,headache",Unaware,seek_medical_help,2,1,2,0,0,1,0,0,2,0,1,0,0,5,32,2.0,2.76
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,maybe,maybe,maybe,maybe,60+,Female,high school,"4,00,001 - 6,00,000",doctor,after_few_days_(2-3days_or_week),Unknown /No Response,"paralysis_or_weakness,vision_problems,headache",Unaware,other,0,1,1,0,0,1,0,0,0,0,2,0,0,8,16,3.2,1.38
Neurologist,Yes,Within a week,maybe,maybe,maybe,maybe,15-25,Male,graduate,"below 2,00,000",doctor,after_few_days_(2-3days_or_week),doctor_or_specialist,vision_problems,diabetes_or_obesity,no_response,4,1,0,0,0,1,0,0,0,0,1,1,0,5,25,2.0,2.16
Neurologist,No,Immediately,no,no,no,yes,15-25,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,0,2,0,0,2,1,0,0,0,0,0,0,6,24,2.4,2.07
Physician,Yes,Within a day,maybe,maybe,maybe,maybe,15-25,Female,graduate,"4,00,001 - 6,00,000",family/friend,after_few_days_(2-3days_or_week),other,paralysis_or_weakness,smoking_or_alcohol_or_drugs,no_response,2,1,1,0,0,1,0,0,0,0,1,1,0,5,22,2.0,1.9
Physician,No,I would not consult a specialist,no,yes,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,1,2,0,0,0,0,0,0,0,9,15,3.6,1.29
"ENT (Ear, Nose, and Throat specialist)",No,Immediately,yes,yes,yes,yes,60+,Male,graduate,"above 8,00,000",doctor,immediately,doctor_or_specialist,no_response,other,seek_medical_help,0,0,2,1,1,0,1,0,2,0,0,0,0,12,28,4.8,2.41
Physician,No,Within a week,no,no,maybe,no,15-25,Male,graduate,not_specified,no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,1,0,0,0,0,0,0,0,2,8,0.8,0.69
Physician,Yes,Immediately,no,no,no,no,15-25,Female,graduate,"below 2,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,1,2,0,0,2,0,0,0,0,0,0,0,4,21,1.6,1.81
Physician,No,I would not consult a specialist,no,no,no,no,15-25,Male,graduate,"below 2,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,0,0,0,2,0,0,0,0,0,0,0,4,10,1.6,0.86
Physician,Yes,Within a week,yes,yes,maybe,yes,41-60,Male,graduate,"above 8,00,000",emergency_services,no_response,hospital_or_medical_centre,no_response,other,seek_medical_help,2,1,0,1,1,1,1,4,0,3,0,0,0,14,60,5.6,5.17
Orthopedic,Maybe,Other,no,no,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,1.6,0.34
Neurologist,Yes,Immediately,yes,yes,yes,yes,15-25,Female,speciality,"2,00,001 - 4,00,000",no_response,immediately,doctor_or_specialist,no_response,Unaware,no_response,4,1,2,1,1,0,1,0,2,0,0,0,0,12,45,4.8,3.88
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a day,maybe,maybe,maybe,maybe,41-60,Male,high school,"above 8,00,000",family/friend,immediately,other,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",call_emergency_services,0,1,1,0,0,1,0,0,2,0,3,3,3,11,44,4.4,3.79
Physician,No,Immediately,yes,no,no,no,15-25,Female,graduate,"4,00,001 - 6,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,2,0,2,1,0,2,0,0,0,0,0,0,0,9,21,3.6,1.81
Physician,Yes,Within a day,yes,maybe,maybe,maybe,15-25,Female,high school,"6,00,001 - 8,00,000",family/friend,after_few_days_(2-3days_or_week),emergency_services,"speech_or_confusion,paralysis_or_weakness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender",seek_medical_help,2,1,1,1,0,1,0,0,0,4,2,4,0,13,59,5.2,5.09
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,graduate,"below 2,00,000",family/friend,immediately,hospital_or_medical_centre,paralysis_or_weakness,other,seek_medical_help,4,1,1,1,1,0,1,0,2,3,1,0,0,15,60,6.0,5.17
Yes,Yes,Within a day,yes,no,no,no,15-25,Male,high school,"above 8,00,000",family/friend,immediately,other,"speech_or_confusion,vision_problems,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",seek_medical_help,0,1,1,1,0,2,0,0,2,0,2,3,0,15,42,6.0,3.62
Physician,No,Within a day,maybe,maybe,maybe,no,41-60,Female,graduate,"6,00,001 - 8,00,000",family/friend,immediately,doctor_or_specialist,no_response,Unaware,seek_medical_help,2,0,1,0,0,1,0,0,2,0,0,0,0,2,21,0.8,1.81
Neurologist,Yes,Within a week,maybe,maybe,maybe,maybe,41-60,Male,graduate,"6,00,001 - 8,00,000",family/friend,after_few_days_(2-3days_or_week),doctor_or_specialist,dizziness,diabetes_or_obesity,no_response,4,1,0,0,0,1,0,0,0,0,0,1,0,2,22,0.8,1.9
Neurologist,No,Within a day,no,no,maybe,no,15-25,Male,high school,not_specified,family/friend,after_few_days_(2-3days_or_week),Unknown /No Response,no_response,Unaware,other,4,0,1,0,0,1,0,0,0,0,0,0,0,2,17,0.8,1.47
Physician,Yes,Within a day,yes,yes,yes,yes,41-60,Female,high school,not_specified,doctor,after_checkup _or_medical_tests,hospital_or_medical_centre,"paralysis_or_weakness,dizziness",diabetes_or_obesity,seek_medical_help,2,1,1,1,1,0,1,0,0,3,1,1,0,15,47,6.0,4.05
Physician,No,Within a week,no,no,no,no,26-40,Female,graduate,not_specified,family/friend,unaware,hospital_or_medical_centre,no_response,Unaware,seek_medical_help,2,0,0,0,0,2,0,0,0,3,0,0,0,4,25,1.6,2.16
Neurologist,Yes,Within a day,yes,yes,yes,yes,26-40,Female,graduate,not_specified,doctor,after_checkup _or_medical_tests,doctor_or_specialist,"speech_or_confusion,dizziness,headache","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender",seek_medical_help,4,1,1,1,1,0,1,0,0,0,1,4,0,15,47,6.0,4.05
Neurologist,No,Within a day,no,no,no,no,26-40,Female,other,not_specified,family/friend,unaware,Unknown /No Response,no_response,Unaware,unaware,4,0,1,0,0,2,0,0,0,0,0,0,0,4,19,1.6,1.64
Neurologist,Yes,Within a week,yes,yes,yes,yes,15-25,Male,undergraduate,not_specified,hospital,immediately,hospital_or_medical_centre,paralysis_or_weakness,other,seek_medical_help,4,1,0,1,1,0,1,3,2,3,1,0,0,15,72,6.0,6.21
Neurologist,No,Within a week,maybe,maybe,maybe,maybe,41-60,Female,graduate,not_specified,family/friend,after_checkup _or_medical_tests,hospital_or_medical_centre,no_response,Unaware,no_response,4,0,0,0,0,1,0,0,0,3,0,0,0,2,29,0.8,2.5
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a week,yes,maybe,yes,maybe,41-60,Male,graduate,"above 8,00,000",emergency_services,after_few_days_(2-3days_or_week),hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness,headache","smoking_or_alcohol_or_drugs, age_or_family_history_of_stroke_gender, Unaware",no_response,0,1,0,1,0,0,0,4,0,3,3,2,0,14,60,5.6,5.17
Neurologist,Yes,Within a day,yes,yes,yes,yes,15-25,Female,undergraduate,not_specified,emergency_services,immediately,emergency_services,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",other,4,1,1,1,1,0,1,4,2,4,3,3,0,21,100,8.4,8.62
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,no,no,maybe,26-40,Male,graduate,"6,00,001 - 8,00,000",family/friend,unaware,hospital_or_medical_centre,no_response,Unaware,unaware,0,0,0,0,0,2,0,0,0,3,0,0,0,4,19,1.6,1.64
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,no,no,maybe,26-40,Male,graduate,"6,00,001 - 8,00,000",doctor,after_few_days_(2-3days_or_week),hospital_or_medical_centre,no_response,Unaware,unaware,0,0,0,0,0,2,0,0,0,3,0,0,0,4,19,1.6,1.64
Orthopedic,No,Within a week,no,no,yes,no,15-25,Male,high school,not_specified,no_response,no_response,hospital_or_medical_centre,no_response,Unaware,no_response,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0.0,1.29
Physician,Yes,Within a day,maybe,yes,yes,yes,26-40,Male,other,"above 8,00,000",doctor,after_few_days_(2-3days_or_week),hospital_or_medical_centre,"speech_or_confusion,paralysis_or_weakness,vision_problems,dizziness","blood_pressure_or_heart_problem, diabetes_or_obesity, smoking_or_alcohol_or_drugs",call_emergency_services,2,1,1,0,1,0,1,0,0,3,3,3,3,16,60,6.4,5.17
Neurologist,No,Within a week,no,no,no,no,15-25,Female,high school,"2,00,001 - 4,00,000",no_response,after_few_days_(2-3days_or_week),hospital_or_medical_centre,no_response,Unaware,no_response,4,0,0,0,0,2,0,0,0,3,0,0,0,4,31,1.6,2.67
Physician,No,Within a week,maybe,no,no,maybe,15-25,Female,graduate,not_specified,family/friend,unaware,hospital_or_medical_centre,no_response,Unaware,no_response,2,0,0,0,0,2,0,0,0,3,0,0,0,4,25,1.6,2.16
Physician,No,Within a week,no,maybe,no,no,26-40,Female,graduate,not_specified,hospital,after_few_days_(2-3days_or_week),hospital_or_medical_centre,no_response,Unaware,no_response,2,0,0,0,0,2,0,3,0,3,0,0,0,4,40,1.6,3.45
"ENT (Ear, Nose, and Throat specialist)",No,Within a week,maybe,maybe,maybe,maybe,15-25,Female,high school,not_specified,family/friend,after_few_days_(2-3days_or_week),hospital_or_medical_centre,no_response,Unaware,no_response,0,0,0,0,0,1,0,0,0,3,0,0,0,2,17,0.8,1.47
